unix_time, readable_time, sample_index, label
1769655955.478074,2026-01-29 12:05:55.478,285600,DOOR_OPEN
1769655966.476408,2026-01-29 12:06:06.476,296600,P2_PIECE_2
1769655985.612477,2026-01-29 12:06:25.612,315800,DOOR_OPEN
1769656017.144924,2026-01-29 12:06:57.144,347200,DOOR_OPEN
1769656021.833739,2026-01-29 12:07:01.833,352000,P2_PIECE_3
1769656031.078325,2026-01-29 12:07:11.078,361200,DOOR_OPEN
1769656043.701742,2026-01-29 12:07:23.701,373800,DOOR_OPEN
1769656059.058242,2026-01-29 12:07:39.058,389200,P2_PIECE_4
1769656059.087254,2026-01-29 12:07:39.087,389200,PHASE3_START
1769656059.110245,2026-01-29 12:07:39.110,389200,CHASE_START
1769656066.453304,2026-01-29 12:07:46.453,396600,DOOR_OPEN
1769656068.845378,2026-01-29 12:07:48.845,399000,EXPERIMENT_END
1769656068.865380,2026-01-29 12:07:48.865,399000,STOP
