unix_time, readable_time, sample_index, label
1769668682.921925,2026-01-29 15:38:02.921,237900,DOOR_OPEN
1769668707.609334,2026-01-29 15:38:27.609,262600,DOOR_OPEN
1769668711.116986,2026-01-29 15:38:31.116,266100,P2_PIECE_3
1769668719.25389,2026-01-29 15:38:39.253,274200,DOOR_OPEN
1769668724.890071,2026-01-29 15:38:44.890,279900,P2_PIECE_4
1769668724.907036,2026-01-29 15:38:44.907,279900,PHASE3_START

1769668724.907036,2026-01-29 15:38:44.907,279900,CHASE_START
1769668728.041859,2026-01-29 15:38:48.041,283000,P3_ZOMBIE_NEAR_1
1769668732.444916,2026-01-29 15:38:52.444,287400,P3_ZOMBIE_NEAR_2
1769668732.52992,2026-01-29 15:38:52.529,287500,FLASH_OFF
1769668732.716878,2026-01-29 15:38:52.716,287600,FLASH_ON
1769668745.128875,2026-01-29 15:39:05.128,300100,DOOR_OPEN
1769668750.732079,2026-01-29 15:39:10.732,305700,EXPERIMENT_END
1769668750.749046,2026-01-29 15:39:10.749,305700,STOP
