unix_time, readable_time, sample_index, sequence, D0, D1, D2, D3, A1_(EMG), A2_(EDA), A3_(ECG), A4, A5, A6
1769151046.229024,2026-01-23 15:50:46.229,65,1,1,1,0,0,511,1020,516,2,0,0
1769151046.230024,2026-01-23 15:50:46.230,66,2,1,1,0,0,511,1020,516,2,0,0
1769151046.231024,2026-01-23 15:50:46.231,67,3,1,1,0,0,512,1020,515,2,0,0
1769151046.232024,2026-01-23 15:50:46.232,68,4,1,1,0,0,512,1020,515,2,0,0
1769151046.233024,2026-01-23 15:50:46.233,69,5,1,1,0,0,513,1020,515,2,0,0
1769151046.234024,2026-01-23 15:50:46.234,70,6,1,1,0,0,514,1020,515,2,0,0
1769151046.235024,2026-01-23 15:50:46.235,71,7,1,1,0,0,513,1020,516,2,0,0
1769151046.236024,2026-01-23 15:50:46.236,72,8,1,1,0,0,512,1020,517,2,0,0
1769151046.237024,2026-01-23 15:50:46.237,73,9,1,1,0,0,512,1020,518,2,0,0
1769151046.238024,2026-01-23 15:50:46.238,74,10,1,1,0,0,511,1020,519,2,0,0
1769151046.239024,2026-01-23 15:50:46.239,75,11,1,1,0,0,511,1020,519,2,0,0
1769151046.240024,2026-01-23 15:50:46.240,76,12,1,1,0,0,511,1020,519,2,0,0
1769151046.241024,2026-01-23 15:50:46.241,77,13,1,1,0,0,512,1020,519,2,0,0
1769151046.242024,2026-01-23 15:50:46.242,78,14,1,1,0,0,512,1020,519,2,0,0
1769151046.243024,2026-01-23 15:50:46.243,79,15,1,1,0,0,510,1020,518,2,0,0
1769151046.244024,2026-01-23 15:50:46.244,80,0,1,1,0,0,509,1020,517,2,0,0
1769151046.245024,2026-01-23 15:50:46.245,81,1,1,1,0,0,510,1020,517,2,0,0
1769151046.246024,2026-01-23 15:50:46.246,82,2,1,1,0,0,512,1020,516,2,0,0
1769151046.247024,2026-01-23 15:50:46.247,83,3,1,1,0,0,510,1020,515,2,0,0
1769151046.248024,2026-01-23 15:50:46.248,84,4,1,1,0,0,511,1020,514,2,0,0
1769151046.249024,2026-01-23 15:50:46.249,85,5,1,1,0,0,512,1020,514,2,0,0
1769151046.250024,2026-01-23 15:50:46.250,86,6,1,1,0,0,511,1020,515,2,0,0
1769151046.251024,2026-01-23 15:50:46.251,87,7,1,1,0,0,513,1020,515,2,0,0
1769151046.252024,2026-01-23 15:50:46.252,88,8,1,1,0,0,512,1020,515,2,0,0
1769151046.253024,2026-01-23 15:50:46.253,89,9,1,1,0,0,513,1020,515,2,0,0
1769151046.254024,2026-01-23 15:50:46.254,90,10,1,1,0,0,513,1020,516,2,0,0
1769151046.255024,2026-01-23 15:50:46.255,91,11,1,1,0,0,510,1020,518,2,0,0
1769151046.256024,2026-01-23 15:50:46.256,92,12,1,1,0,0,512,1020,518,2,0,0
1769151046.257024,2026-01-23 15:50:46.257,93,13,1,1,0,0,512,1020,519,2,0,0
1769151046.258024,2026-01-23 15:50:46.258,94,14,1,1,0,0,510,1020,519,2,0,0
1769151046.259024,2026-01-23 15:50:46.259,95,15,1,1,0,0,509,1020,519,2,0,0
1769151046.260024,2026-01-23 15:50:46.260,96,0,1,1,0,0,511,1020,519,2,0,0
1769151046.261024,2026-01-23 15:50:46.261,97,1,1,1,0,0,510,1020,518,2,0,0
1769151046.262024,2026-01-23 15:50:46.262,98,2,1,1,0,0,512,1020,517,2,0,0
1769151046.263024,2026-01-23 15:50:46.263,99,3,1,1,0,0,512,1020,516,2,0,0
1769151046.264024,2026-01-23 15:50:46.264,100,4,1,1,0,0,511,1020,516,2,0,0
1769151046.265024,2026-01-23 15:50:46.265,101,5,1,1,0,0,512,1020,516,2,0,0
1769151046.266024,2026-01-23 15:50:46.266,102,6,1,1,0,0,510,1020,516,2,0,0
1769151046.267024,2026-01-23 15:50:46.267,103,7,1,1,0,0,511,1020,516,2,0,0
1769151046.268024,2026-01-23 15:50:46.268,104,8,1,1,0,0,512,1020,517,2,0,0
1769151046.269024,2026-01-23 15:50:46.269,105,9,1,1,0,0,512,1020,517,2,0,0
1769151046.270024,2026-01-23 15:50:46.270,106,10,1,1,0,0,512,1020,518,2,0,0
1769151046.271024,2026-01-23 15:50:46.271,107,11,1,1,0,0,513,1020,519,2,0,0
1769151046.272024,2026-01-23 15:50:46.272,108,12,1,1,0,0,513,1020,519,2,0,0
1769151046.273024,2026-01-23 15:50:46.273,109,13,1,1,0,0,511,1020,519,2,0,0
1769151046.274024,2026-01-23 15:50:46.274,110,14,1,1,0,0,507,1020,519,2,0,0
1769151046.275024,2026-01-23 15:50:46.275,111,15,1,1,0,0,510,1020,519,2,0,0
1769151046.276024,2026-01-23 15:50:46.276,112,0,1,1,0,0,509,1020,517,2,0,0
1769151046.277024,2026-01-23 15:50:46.277,113,1,1,1,0,0,512,1020,516,2,0,0
1769151046.278024,2026-01-23 15:50:46.278,114,2,1,1,0,0,513,1020,516,2,0,0
1769151046.279024,2026-01-23 15:50:46.279,115,3,1,1,0,0,512,1020,515,2,0,0
1769151046.280024,2026-01-23 15:50:46.280,116,4,1,1,0,0,510,1020,515,2,0,0
1769151046.281024,2026-01-23 15:50:46.281,117,5,1,1,0,0,507,1020,515,2,0,0
1769151046.282024,2026-01-23 15:50:46.282,118,6,1,1,0,0,509,1020,515,2,0,0
1769151046.283024,2026-01-23 15:50:46.283,119,7,1,1,0,0,513,1020,515,2,0,0
1769151046.284024,2026-01-23 15:50:46.284,120,8,1,1,0,0,513,1020,516,2,0,0
1769151046.285024,2026-01-23 15:50:46.285,121,9,1,1,0,0,511,1020,517,2,0,0
1769151046.286024,2026-01-23 15:50:46.286,122,10,1,1,0,0,512,1020,517,2,0,0
1769151046.287024,2026-01-23 15:50:46.287,123,11,1,1,0,0,512,1020,519,2,0,0
1769151046.288024,2026-01-23 15:50:46.288,124,12,1,1,0,0,511,1020,519,2,0,0
1769151046.289024,2026-01-23 15:50:46.289,125,13,1,1,0,0,511,1020,519,2,0,0
