unix_time, readable_time, sample_index, label
1769660742.649156,2026-01-29 13:25:42.649,298500,DOOR_LOCKED_NOT_ENOUGH_PIECES
1769660742.988161,2026-01-29 13:25:42.988,298800,DOOR_LOCKED_NOT_ENOUGH_PIECES
1769660745.441864,2026-01-29 13:25:45.441,301300,DOOR_LOCKED_NOT_ENOUGH_PIECES
1769660746.040435,2026-01-29 13:25:46.040,301800,DOOR_LOCKED_NOT_ENOUGH_PIECES
1769660746.451895,2026-01-29 13:25:46.451,302300,DOOR_LOCKED_NOT_ENOUGH_PIECES
1769660747.160624,2026-01-29 13:25:47.160,303000,FLASH_OFF
1769660769.625983,2026-01-29 13:26:09.625,325400,P2_ZOMBIE_DOOR
1769660769.631025,2026-01-29 13:26:09.631,325400,DOOR_OPEN
1769660786.075129,2026-01-29 13:26:26.075,341900,DOOR_OPEN
1769660796.845862,2026-01-29 13:26:36.845,352700,FLASH_ON
1769660800.676772,2026-01-29 13:26:40.676,356500,DOOR_OPEN
1769660801.462845,2026-01-29 13:26:41.462,357300,DOOR_OPEN
1769660808.304828,2026-01-29 13:26:48.304,364100,P2_PIECE_4
1769660808.314831,2026-01-29 13:26:48.314,364100,PHASE3_START
1769660808.323833,2026-01-29 13:26:48.323,364100,CHASE_START
1769660811.490003,2026-01-29 13:26:51.490,367300,P3_ZOMBIE_NEAR_1
1769660813.593652,2026-01-29 13:26:53.593,369400,P3_ZOMBIE_NEAR_2
1769660855.652776,2026-01-29 13:27:35.652,411500,DOOR_OPEN
1769660857.505534,2026-01-29 13:27:37.505,413300,EXPERIMENT_END
1769660857.524538,2026-01-29 13:27:37.524,413300,STOP
