EMG_raw,EMG_processed,EDA_raw,EDA_processed,ECG_raw,ECG_processed,time_sec
510,1.0432868135071711,1020,1019.988800047877,509,-1.4705598043765546,19.148
509,1.049344582133294,1020,1019.9887998895895,509,-1.5620548182876155,19.149
511,1.056647301991056,1020,1019.9887997289841,510,-1.6324212815755632,19.15
512,1.0715215654155734,1020,1019.9887995660558,509,-1.6822977908405359,19.151
511,1.0593430748716222,1020,1019.9887994007993,508,-1.7124846392100044,19.152
512,1.044474363814974,1020,1019.9887992332085,508,-1.7238945436447841,19.153
513,1.0795028226153451,1020,1019.9887990632781,508,-1.7175482599394092,19.154
512,1.1255601330841816,1020,1019.988798891003,509,-1.6946032890101357,19.155
513,1.1803187290821362,1020,1019.9887987163777,508,-1.6564004635480367,19.156
513,1.1923150640508844,1020,1019.9887985393968,508,-1.6045129780388627,19.157
512,1.1986657350909302,1020,1019.988798360055,508,-1.5407827815378141,19.158
512,1.269612613934324,1020,1019.988798178347,508,-1.4673297321375076,19.159
511,1.3374069006855593,1020,1019.9887979942685,508,-1.3865209092990167,19.16
510,1.3872243495104615,1020,1019.9887978078143,508,-1.3008919460258843,19.161
510,1.376451167521155,1020,1019.9887976189791,508,-1.2130188544634466,19.162
508,1.3872083527361332,1020,1019.9887974277569,509,-1.1253468567596918,19.163
508,1.3766581518153826,1020,1019.9887972341423,509,-1.039991494036002,19.164
511,1.387527202407568,1020,1019.9887970381299,510,-0.9585354979710441,19.165
514,1.3618990899984744,1020,1019.988796839714,510,-0.8818505049880494,19.166
513,1.3795917942153417,1020,1019.9887966388899,510,-0.8099736465153179,19.167
514,1.406429367021966,1020,1019.9887964356524,510,-0.7420645064758029,19.168
511,1.4140868669995363,1020,1019.9887962299961,510,-0.6764586991139505,19.169
511,1.4107366376692623,1020,1019.988796021916,510,-0.6108223764858383,19.17
510,1.421743630462869,1020,1019.9887958114066,510,-0.5423993909106366,19.171
512,1.4167944736765699,1020,1019.9887955984625,509,-0.46833093290445904,19.172
513,1.428759927650414,1020,1019.9887953830787,509,-0.3860171088387959,19.173
512,1.4125279701554314,1020,1019.9887951652497,509,-0.2934824161417152,19.174
510,1.420808024895037,1020,1019.9887949449701,509,-0.18970414798069396,19.175
510,1.444676977226011,1020,1019.9887947222339,509,-0.07486533361604329,19.176
512,1.4779651943811156,1020,1019.9887944970358,509,0.049498826595918144,19.177
513,1.4967882311031744,1020,1019.9887942693697,509,0.1804814879357265,19.178
514,1.551765373335396,1020,1019.9887940392302,510,0.3139194344720999,19.179
515,1.5262107408042622,1020,1019.988793806612,510,0.4446368768640429,19.18
513,1.5222370978390392,1020,1019.9887935715099,511,0.5667974645611671,19.181
510,1.5364638697128155,1020,1019.9887933339185,511,0.6743320886387555,19.182
508,1.518034060368066,1020,1019.9887930938328,511,0.7614019580985092,19.183
506,1.5135145917876784,1020,1019.9887928512478,511,0.8228532799390805,19.184
508,1.5352203617290292,1020,1019.9887926061581,512,0.8546210510017577,19.185
508,1.536848452011722,1020,1019.9887923585577,512,0.8540436041220851,19.186
512,1.5281392005676477,1020,1019.9887921084412,512,0.8200560351922443,19.187
512,1.5059265357951723,1020,1019.9887918558031,512,0.7532402104318009,19.188
512,1.4621516103476138,1020,1019.988791600638,511,0.6557224323298387,19.189
511,1.4964628671690006,1020,1019.9887913429404,511,0.5309261188714983,19.19
510,1.5167641031931753,1020,1019.9887910827053,510,0.3832035292298174,19.191
513,1.5041829130276982,1020,1019.9887908199278,510,0.217384794025009,19.192
512,1.5019465949586082,1020,1019.9887905546032,509,0.03829217206344342,19.193
512,1.508449672394067,1020,1019.9887902867274,509,-0.14972839510825303,19.194
512,1.5270444910328982,1020,1019.9887900162964,508,-0.3432078233960628,19.195
512,1.5386027138931238,1020,1019.9887897433061,508,-0.5398427689555639,19.196
