Phase,N,ECG_heart_rate_bpm_mean,ECG_heart_rate_bpm_std,ECG_rmssd_ms_mean,ECG_rmssd_ms_std,ECG_sdnn_ms_mean,ECG_sdnn_ms_std,EDA_mean_SCL_uS_mean,EDA_mean_SCL_uS_std,EMG_mean_uV_mean,EMG_mean_uV_std,EMG_rms_uV_mean,EMG_rms_uV_std
BASELINE,4,119.3820163284102,24.760165909951564,169.5575333644114,74.85046281797955,118.29158062072628,39.02074082247206,24328.166117613237,3557.1316156739367,6.748078816897112,2.8431372483660673,8.682082563458929,3.630808287212076
TASK,4,118.48473991251097,20.432330983410207,184.84561861346356,67.42984535405748,132.38131073303117,16.76311612733571,22928.530171292834,4882.1358704077475,6.04200257761617,3.1072728144030433,8.018628264289854,2.1639440744812988
PUZZLE,4,121.83859291301007,21.66962800599925,192.77319875056585,43.826515440232136,135.82706214552113,34.78708567221324,26501.58326371761,1068.21422849097,9.292653345400305,2.3379545385651634,13.632618268919193,6.313545540225012
CHASE,3,116.6378652483924,27.550165389658673,199.2688370332181,86.43886145232385,147.57535609189023,58.710198406846,27003.31900340157,135.81258879648072,18.375018612351415,17.701344160285554,25.541724352837935,27.37767004517508
