EMG_raw,EMG_processed,EDA_raw,EDA_processed,ECG_raw,ECG_processed,time_sec
507,3.7502086831685593,1020,1019.9950547059115,523,5.4609721793919785,0.0
519,3.811320466452983,1020,1019.9950467665657,523,5.050803064221242,0.001
520,3.8161110527294944,1020,1019.995038815492,523,4.6569151502637265,0.002
522,3.8700922344393045,1020,1019.9950308527099,522,4.29823504089868,0.003
523,3.904853413355157,1020,1019.995022878238,521,3.991455748193556,0.004
519,3.975448017521709,1020,1019.9950148920956,520,3.7500625591425774,0.005
520,4.066714460738538,1020,1019.9950068943016,519,3.583548656352342,0.006
522,4.115269337169687,1020,1019.9949988848751,519,3.4968799476879697,0.007
524,4.1208870445612105,1020,1019.9949908638349,519,3.490258640011124,0.008
520,4.133826150999489,1020,1019.9949828312004,519,3.559216459891567,0.009
515,4.1347646015440205,1020,1019.9949747869917,519,3.695042948197413,0.01
516,4.159892671495841,1020,1019.9949667312288,520,3.8855250658321547,0.011
513,4.172619086769155,1020,1019.9949586639312,522,4.115944300689461,0.012
508,4.230575224944521,1020,1019.9949505851176,523,4.37024936663378,0.013
502,4.237824101879485,1020,1019.9949424948071,524,4.632300578443095,0.014
504,4.240188761199677,1020,1019.9949343930188,524,4.887071168420935,0.015
502,4.257512452261565,1020,1019.9949262797717,525,5.121694360697106,0.016
504,4.305303803429691,1020,1019.9949181550845,525,5.326262149724724,0.017
503,4.40658949849348,1020,1019.9949100189759,525,5.494308920943824,0.018
511,4.452784354185697,1020,1019.9949018714641,524,5.622946581216329,0.019
511,4.457629712906071,1020,1019.9948937125677,524,5.712654505536904,0.02
512,4.51741230634718,1020,1019.9948855423057,523,5.76676377939893,0.021
515,4.80954853739716,1020,1019.9948773606978,522,5.790706976818766,0.022
519,5.0024077279186985,1020,1019.9948691677631,521,5.791128717117059,0.023
518,5.032443861246888,1020,1019.9948609635206,520,5.774966012360649,0.024
516,5.087167004956292,1020,1019.9948527479895,519,5.748608850773926,0.025
513,5.214832833889505,1020,1019.9948445211893,520,5.717238993360433,0.026
510,5.182311814470311,1020,1019.9948362831395,520,5.684418665916599,0.027
511,5.190962114439172,1020,1019.9948280338598,521,5.65196358777032,0.028
509,5.103126640702482,1020,1019.9948197733701,523,5.620092384894678,0.029
508,5.030035279671341,1020,1019.9948115016904,524,5.587804223968991,0.03
510,5.167059796762292,1020,1019.9948032188412,524,5.553405628525926,0.031
512,5.128640790790417,1020,1019.994794924843,524,5.515091381818348,0.032
513,4.929626471440857,1020,1019.9947866197161,524,5.471485049723586,0.033
512,4.742344271313545,1020,1019.9947783034817,524,5.422059169945591,0.034
511,4.6547313470754315,1020,1019.9947699761609,524,5.3673781610914055,0.035
511,4.720525595527951,1020,1019.9947616377752,524,5.309134021428785,0.036
