EMG_raw,EMG_processed,EDA_raw,EDA_processed,ECG_raw,ECG_processed,time_sec
506,1.1258327769269958,1000,1002.4030616091072,511,-9.740096184305383,0.0
506,1.2043129451068868,1000,1002.4077554862852,510,-10.51587627565084,0.001
504,1.2875875060735669,1000,1002.4124271375304,508,-11.26856316364114,0.002
507,1.3290408392661806,1001,1002.4170764308933,507,-11.97022104052889,0.003
511,1.3490059897568671,1000,1002.4217032342358,505,-12.596938492692157,0.004
515,1.3522912576313415,1000,1002.4263074152323,504,-13.13092526374865,0.005
515,1.3689743117567865,1001,1002.4308888413698,504,-13.562142998146024,0.006
511,1.4125090172803114,1000,1002.435447379949,503,-13.88934213353479,0.007
508,1.4666941378153893,1000,1002.4399828980845,502,-14.12041856323687,0.008
507,1.5087454174259705,1000,1002.4444952627055,502,-14.272052884799756,0.009
510,1.541561235184036,1000,1002.4489843405559,503,-14.368649701248605,0.01
512,1.5424761488251684,1000,1002.453449998196,505,-14.440653062453096,0.011
512,1.550022000726531,1001,1002.4578921020034,507,-14.522373518497856,0.012
511,1.56527644752266,1000,1002.4623105181731,509,-14.649515207474183,0.013
512,1.5778874174672235,1000,1002.4667051127185,511,-14.85662807214555,0.014
511,1.6065079616675615,1000,1002.4710757514713,511,-15.174721930205264,0.015
509,1.6738635191183169,1000,1002.4754223000832,511,-15.629261019079463,0.016
508,1.7856268879560384,1000,1002.4797446240259,510,-16.238710417460716,0.017
510,1.9336113134481492,1000,1002.4840425885914,508,-17.013735119289265,0.018
515,1.9672846669379103,1000,1002.4883160588929,504,-17.95706772743907,0.019
519,2.017766255106162,1000,1002.492564899866,499,-19.063972806677395,0.02
515,2.0835219910143765,1000,1002.4967889762684,495,-20.32315758089309,0.021
514,2.1716617610235525,1000,1002.5009881526812,492,-21.717923994077154,0.022
512,2.237944542331137,1000,1002.5051622935093,490,-23.227338458434918,0.023
511,2.323268206778745,1000,1002.509311262982,488,-24.82721802736001,0.024
508,2.3707356320181505,1000,1002.5134349251543,489,-26.49079080042163,0.025
508,2.3863231356464403,1000,1002.5175331439073,491,-28.188972258263625,0.026
510,2.3907515233005405,1000,1002.5216057829484,491,-29.890292029571714,0.027
511,2.3361914268800983,1000,1002.5256527058127,492,-31.560589473137732,0.028
512,2.341806566711922,1000,1002.5296737758626,492,-33.1626550866903,0.029
511,2.2943363361215536,1000,1002.5336688562898,492,-34.656018197790786,0.03
510,2.205160269032619,1000,1002.5376378101155,491,-35.997067855682715,0.031
509,2.1139421370102283,1000,1002.5415805001926,487,-37.1396472602088,0.032
510,2.1012906254048644,1000,1002.5454967892051,484,-38.036190240931056,0.033
510,2.1182132457860305,1000,1002.5493865396688,480,-38.63938367223543,0.034
512,2.125562934195482,1000,1002.5532496139317,478,-38.90425907228142,0.035
512,2.1990846606277086,1000,1002.5570858741753,479,-38.79055672617079,0.036
511,2.19951063079132,999,1002.5608951824156,481,-38.26517653082069,0.037
511,2.181061246684367,1000,1002.5646774005036,483,-37.30453018213502,0.038
513,2.177097447919916,999,1002.568432390125,483,-35.8966278479797,0.039
515,2.2143650764161564,999,1002.5721600128022,483,-34.042754684851616,0.04
517,2.217035872980691,999,1002.575860129894,483,-31.758610823734198,0.041
519,2.185240873372167,999,1002.5795326025964,486,-29.074806324520722,0.042
513,2.185106946812304,1000,1002.5831772919441,490,-26.036630061587186,0.043
509,2.1889016748469654,999,1002.5867940588109,495,-22.703055338231795,0.044
508,2.156134623669827,999,1002.5903827639104,499,-19.14500253125999,0.045
507,2.023045834079004,999,1002.5939432677969,504,-15.442939786443553,0.046
508,1.9966402209131466,999,1002.5974754308663,509,-11.683955524464976,0.047
507,1.9634305066752287,999,1002.6009791133561,514,-7.958474542787335,0.048
509,1.9663946421762708,999,1002.6044541753458,518,-4.356810356803929,0.049
512,1.9542737523374327,999,1002.6079004767598,522,-0.9657494133318897,0.05
512,1.9203257134202356,999,1002.6113178773667,524,2.134651690656496,0.051
511,1.8499034920017545,999,1002.6147062367813,526,4.873904262408159,0.052
511,1.8255343344694024,999,1002.618065414465,527,7.193448032494594,0.053
512,1.807607155874888,999,1002.6213952697262,529,9.048462369276454,0.054
514,1.8331225815750314,999,1002.6246956617215,531,10.409092534787172,0.055
513,1.8169565929077853,999,1002.6279664494555,532,11.261082810781952,0.056
513,1.8012304780000699,999,1002.6312074917828,532,11.605828414521266,0.057
513,1.7471114902554858,999,1002.634418647408,531,11.459875167209631,0.058
514,1.7520304081922844,999,1002.6375997748869,529,10.853913034974562,0.059
515,1.7762349404443936,999,1002.6407507326276,528,9.831325969438113,0.06
513,1.7873109016274111,999,1002.6438713788912,527,8.446371795578779,0.061
512,1.827390029898797,999,1002.6469615717924,526,6.762068709469891,0.062
511,1.8822338992829237,999,1002.650021169301,525,4.847859746850267,0.063
509,1.9423666285658698,999,1002.6530500292411,524,2.7771181437872396,0.064
510,1.9254888698082806,999,1002.6560480092926,522,0.6245512506065013,0.065
511,2.0006235365243348,999,1002.6590149669919,519,-1.5364364031903925,0.066
507,1.9219442492425598,999,1002.6619507597325,516,-3.636347487973679,0.067
